assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
12.8,6.6,7.4,wcc,1.6,20.7,1.9,0.528,441,0.528,233,0.669,0.763,34,34,82,974,5.8,11.7,3.8,30.3,eric-mika-2,658,Forward,1,brigham-young,0.002,0,16.5,0.595,12.6,0.53,31.6,230,5.7,0.235,Eric Mika,2016,2,2.3,2.59,8.54,12.11,9.24,4.27,3.78,28.38,0.78,0.04,0,12.81,3.45,18.07,9.57
12.6,0.2,5.1,acc,1.4,8.3,0.9,0.564,281,0.473,133,0.363,0.755,36,16,75,895,3.7,3.1,2.4,17,frank-jackson-2,371,Guard,1.3,duke,0.459,0.395,5.8,0.598,12.9,0.539,21.1,205,3.3,0.147,Frank Jackson,2016,1,2.73,0.09,2.99,4.56,3.44,1.03,3.8,17.61,0.89,5.77,2.28,4.02,2.19,6.79,3.66
26.1,0.2,11.3,big-12,2.7,10.5,1.7,0.573,492,0.49,241,0.484,0.794,36,36,71,1301,8.6,2,5.8,25.5,frank-mason-1,745,Guard,2,kansas,0.354,0.471,6.4,0.622,12.4,0.5,25.6,185,7.5,0.23,Frank Mason,2016,4,5.75,0.06,3.94,7.32,5.81,0.68,2.24,23.15,1.45,5.35,2.52,4.61,2.64,9.78,4.89
23.2,0.6,5.9,sec,3.1,13.8,1.9,0.494,347,0.47,163,0.427,0.635,36,36,75,1095,2.8,5.2,1.9,16.4,isaiah-briscoe-1,480,Guard,1.5,kentucky,0.17,0.288,9.5,0.524,17.6,0.507,21.3,202,3.8,0.137,Isaiah Briscoe,2016,2,5.52,0.26,5.19,5.41,3.43,1.94,3.36,15.96,1.1,2.16,0.62,7.12,3.25,10.52,5.33
10.9,3.3,6.4,pac-12,3.4,25.7,2.5,0.497,312,0.484,151,0.599,0.663,31,30,83,1012,3,10.7,2.1,21.7,ivan-rabb-1,432,Forward,1.3,california,0.064,0.4,18.3,0.541,14.3,0.49,23.8,220,4.6,0.18,Ivan Rabb,2016,2,1.9,1.23,9.09,7.39,4.9,3.72,3.79,17.15,0.83,0.79,0.32,12.81,2.65,11.54,5.65
7.7,0.8,6.2,pac-12,2.4,13.2,1.6,0.542,318,0.44,140,0.173,0.764,27,25,78,863,3.8,3.5,1.5,16.5,jabari-bird-1,331,Guard,1.3,california,0.56,0.365,8.4,0.562,12.7,0.536,23.5,198,3.1,0.142,Jabari Bird,2016,4,1.3,0.28,4.68,2.55,1.95,1.21,2.41,17.94,0.83,8.25,3.01,5.89,2.32,6.49,3.48
15.5,8.8,5.3,big-sky,0.7,21.1,1.5,0.649,412,0.643,265,0.466,0.828,34,34,79,1165,4.6,10.3,4.8,32.1,jacob-wiley-1,683,Forward,1.3,eastern-washington,0.017,0.714,15.9,0.69,20.3,0.642,28.2,220,6.3,0.216,Jacob Wiley,2016,2,2.75,3.23,7.35,6.59,5.46,3.26,3.5,23.83,0.89,0.24,0.17,10.61,4.39,13.91,8.93
15.2,1.5,4.6,mwc,-0.3,14,1.4,0.561,379,0.478,181,0.338,0.789,32,32,80,1117,4.9,3.2,2.7,19.4,jalen-moore-1,489,Forward,0.8,utah-state,0.391,0.426,8.9,0.598,12.9,0.511,23.5,215,4.1,0.146,Jalen Moore,2016,4,2.94,0.54,5.12,4.58,3.62,1.04,1.65,18.84,0.57,5.3,2.26,6.16,2.22,8.27,4.23
22.8,0.8,5.9,acc,-0.5,11.8,0.4,0.564,413,0.475,196,0.383,0.734,32,31,79,1097,6.4,4.4,3.2,21.2,jamel-artis-1,551,Forward,0.7,pittsburgh,0.458,0.392,8.2,0.596,14.5,0.545,27.2,220,3.6,0.13,Jamel Artis,2016,4,3.87,0.33,4.23,5.76,4.23,1.46,2.22,21.22,0.47,6.89,2.7,5.69,3.03,8.17,4.45
12.2,0.1,7.5,big-ten,0.1,13.8,0.9,0.601,365,0.477,174,0.236,0.837,30,30,76,915,7.4,3.9,3.3,22.5,james-blackmon-1,450,Guard,1.3,indiana,0.589,0.423,9.1,0.63,12.5,0.553,24.8,190,4.2,0.183,James Blackmon,2016,3,2.45,0.04,5.03,3.76,3.15,1.27,2.36,22.34,0.92,9.4,3.98,6.3,2.54,6.56,3.63
9.7,2.9,6.2,acc,1,15.5,1.1,0.526,441,0.499,220,0.381,0.714,33,33,79,1133,5.2,5.9,3.2,23.1,jaron-blossomgame-1,540,Forward,1.4,clemson,0.213,0.255,10.6,0.561,9.7,0.565,25.9,215,4.3,0.152,Jaron Blossomgame,2016,4,1.8,1.06,5.23,5.93,4.24,2.08,1.87,20.62,0.95,3.32,0.85,7.31,1.98,12.25,6.92
5.7,5,5.2,big-12,2.6,18.9,1.7,0.566,316,0.566,179,0.472,0.564,33,33,83,1061,2.6,10.9,1.5,20.3,jarrett-allen-1,428,Forward,1,texas,0.022,0,14.9,0.571,17.8,0.579,22.6,235,3.3,0.124,Jarrett Allen,2016,1,1.02,1.92,6.71,5.62,3.17,3.77,2.56,16.66,0.72,0.26,0,10.48,3.17,11.65,6.75
43.6,0.5,9.2,big-12,1.2,11,0.8,0.475,482,0.438,211,0.396,0.812,32,32,73,936,8,2.8,4,27.3,jawun-evans-1,659,Guard,3.3,oklahoma-state,0.197,0.379,6.8,0.535,13.6,0.452,32.7,175,4.8,0.206,Jawun Evans,2016,2,8.72,0.17,3.68,8.16,6.62,1.03,3.16,26.2,2.44,4.06,1.54,4.7,3.85,16.54,7.48
4.8,2.7,5.7,acc,2.4,16.7,1.3,0.6,180,0.589,106,0.489,0.625,34,26,81,696,3.3,14.4,1.8,20.8,jaylen-johnson-1,272,Forward,1.3,louisville,0.039,0.571,15.5,0.611,16.6,0.59,18.7,215,3.1,0.179,Jaylen Johnson,2016,3,1.03,0.98,6.03,5.06,3.16,5.23,4.71,15.57,0.92,0.4,0.23,11.26,2.53,9.94,5.86
12.4,3.2,7.9,acc,3.2,19.7,1.8,0.507,365,0.452,165,0.381,0.849,29,27,80,966,4.6,4.8,2.3,22,jayson-tatum-1,467,Forward,2.3,duke,0.321,0.342,12.6,0.566,15,0.504,26.2,205,4.1,0.169,Jayson Tatum,2016,1,2.57,1.37,7.2,5.76,4.89,1.61,3.56,20.21,1.61,4.84,1.66,8.82,3.15,10.27,5.18
4.5,6.6,9.9,acc,0.7,25.6,1,0.622,376,0.622,234,0.585,0.745,33,33,82,878,9.3,16.4,4.6,35.9,john-collins-1,579,Forward,1.3,wake-forest,0.003,0,21.1,0.658,11.1,0.624,29.9,218,5.6,0.256,John Collins,2016,2,0.77,2.37,9.11,10.02,7.47,5.65,4.46,28.79,0.96,0.05,0,14.76,2.73,17.08,10.66
17.3,3.9,8.7,big-12,2.8,23,2.1,0.531,434,0.521,226,0.422,0.699,34,34,81,1036,5.9,15.2,3.3,26.7,johnathan-motley-1,576,Forward,0.7,baylor,0.076,0.273,19.2,0.565,16.1,0.541,30.6,230,5.4,0.208,Johnathan Motley,2016,3,3.05,1.43,8.07,7.07,4.94,4.86,4.02,22.74,0.46,1.27,0.35,12.93,3.86,15.48,8.38
7.5,6.2,10,acc,4.2,25.1,1.9,0.568,256,0.508,130,0.461,0.78,32,32,82,839,5.8,7.7,2.4,24.6,jonathan-isaac-1,364,Forward,2.4,florida-state,0.348,0.348,16.7,0.614,13.3,0.593,20.3,210,4.3,0.205,Jonathan Isaac,2016,1,1.76,2.34,9.3,5.63,4.39,2.67,3.34,18.26,1.76,4.24,1.48,11.97,2.29,7.96,4.72
11.4,8.5,10.8,pac-12,5.5,22.4,3,0.641,269,0.636,171,0.435,0.701,39,38,79,1124,5.3,12.2,3.2,26.4,jordan-bell-1,445,Forward,2.5,oregon,0.052,0.214,17.6,0.658,18.8,0.659,18,190,6.2,0.222,Jordan Bell,2016,3,2.49,3.13,8.19,4.16,2.92,3.99,2.42,15.2,1.74,0.5,0.11,12.17,2.67,9.07,5.98
18.8,1,12,big-east,3.9,17.6,2.6,0.59,463,0.51,236,0.367,0.747,36,35,77,1193,8.1,5.8,5.1,28.2,josh-hart-1,648,Guard,2.9,villanova,0.395,0.404,12.2,0.619,11.5,0.579,27.8,205,7.7,0.257,Josh Hart,2016,4,3.55,0.34,6,5.7,4.26,1.71,2.72,22.56,1.88,6.14,2.48,7.71,2.38,9.39,5.43
18.2,3.5,9.9,big-12,4.2,17.5,2.2,0.552,429,0.513,220,0.403,0.566,35,35,80,1077,5.7,8.7,2.7,24.2,josh-jackson-2,571,Guard,3.1,kansas,0.21,0.378,13.3,0.559,15.9,0.549,27.2,207,4.9,0.18,Josh Jackson,2016,1,3.86,1.37,6.57,6.43,3.64,3.01,3.86,21.24,2.19,3.34,1.26,9.58,3.6,12.59,6.91
15.8,0.8,9.8,acc,2.1,10.8,1.8,0.531,596,0.443,264,0.22,0.748,40,39,80,1281,7.7,4.8,4.3,21.3,justin-jackson-4,659,Forward,1.3,north-carolina,0.477,0.37,7.8,0.555,9.5,0.51,25.7,193,6.1,0.191,Justin Jackson,2016,3,3.53,0.28,4,4.09,3.06,1.81,1.72,22.83,0.97,8.87,3.28,5.81,2.15,9.74,4.96
8.5,5.9,8.4,big-east,4.2,19,1.8,0.689,296,0.676,200,0.294,0.517,35,34,83,885,4.2,8,2.5,25.2,justin-patton-1,406,Center,1.9,creighton,0.051,0.533,13.9,0.671,15.1,0.683,22,215,4.3,0.194,Justin Patton,2016,1,1.85,2.26,7.19,3.93,2.03,2.67,4.34,20.47,1.36,0.68,0.36,9.85,2.71,12.7,8.68
7.8,10.6,6.5,southern,2.6,17.8,1.6,0.661,242,0.645,156,0.628,0.671,31,30,82,896,3.9,10,3.2,28,justin-tuoyo-1,401,Forward,1.4,chattanooga,0.083,0.4,13.9,0.672,14.7,0.667,20.9,220,4.8,0.214,Justin Tuoyo,2016,4,1.47,3.97,5.76,6.79,4.55,3.35,3.75,18.84,0.98,0.89,0.36,9.11,2.41,9.91,6.61
17.8,2.3,7.4,pac-12,5.2,13.8,2,0.521,236,0.453,107,0.492,0.741,34,33,75,1020,2.2,1.5,1.7,16.7,kadeem-allen-1,340,Guard,3.1,arizona,0.318,0.427,8.1,0.57,18.3,0.466,18.1,180,3.8,0.148,Kadeem Allen,2016,2,3.96,0.82,4.9,4.55,3.37,0.47,3.25,13.02,2.08,2.94,1.25,5.37,2.55,6.31,2.94
15.7,0.4,1.8,pac-12,1.6,6.1,1.1,0.452,281,0.395,111,0.317,0.775,37,19,77,871,0.3,1.9,1.3,12.8,kobi-simmons-1,319,Guard,1.6,arizona,0.349,0.327,4.1,0.5,12.5,0.432,22,175,2.4,0.11,Kobi Simmons,2016,1,3.35,0.14,2.16,4.09,3.17,0.6,3.21,14.83,1.1,4.5,1.47,2.76,2.11,8.4,3.63
15.2,1.6,6.3,pac-12,0.7,23.3,1.8,0.542,361,0.504,182,0.352,0.669,29,29,81,894,5.6,11.3,2.8,25,kyle-kuzma-1,481,Forward,1.1,utah,0.233,0.321,17.7,0.565,12.8,0.56,27,190,4.5,0.204,Kyle Kuzma,2016,3,3.18,0.63,8.5,5.68,3.8,3.62,2.06,21.3,0.81,3.76,1.21,12.13,2.77,12.39,6.94
5.6,1.8,9.4,pac-12,1.5,17.5,1.8,0.584,376,0.492,185,0.436,0.835,37,37,85,1140,7.9,10,4.8,25,lauri-markkanen-1,534,Forward,0.8,arizona,0.434,0.423,14,0.635,8.1,0.545,22.5,230,6.7,0.235,Lauri Markkanen,2016,1,1.12,0.67,6.25,5.75,4.81,3.09,2.56,20.21,0.53,5.72,2.42,9.33,1.4,7.47,4.07
22.6,1.2,5.6,big-east,1.5,9.1,1.2,0.529,349,0.481,168,0.547,0.796,32,32,77,1051,4.1,3.8,2.8,19.8,lj-peak-1,512,Forward,1.8,georgetown,0.289,0.327,6.6,0.592,16.4,0.544,25.2,215,3.9,0.15,LJ Peak,2016,3,4.22,0.46,3.39,7.27,5.78,1.26,3.35,19.83,1.29,3.84,1.26,4.64,3.27,9.44,5.14
31.4,2.1,12,pac-12,3.9,14.3,2,0.668,343,0.551,189,0.286,0.673,36,36,78,1263,8.1,3.2,4.8,24.7,lonzo-ball-1,608,Guard,2.8,ucla,0.566,0.412,9.3,0.673,18.6,0.732,18.1,190,6.8,0.214,Lonzo Ball,2016,1,8.68,0.89,5.8,3.1,2.09,1.05,2.06,16.6,2.09,6.14,2.53,6.84,2.82,4.72,3.45
13.6,0.9,10.3,acc,2,12.1,1.6,0.579,485,0.489,237,0.386,0.856,37,36,77,1314,8.4,3.9,5.5,24.4,luke-kennard-1,672,Guard,1.4,duke,0.414,0.438,8.2,0.629,9.3,0.525,24,180,7.1,0.217,Luke Kennard,2016,2,2.77,0.4,4.41,5.69,4.87,1.31,2.53,21.98,0.94,6.12,2.68,5.72,1.8,8.65,4.54
8.5,6.7,7.8,sec,3.4,16.6,1.9,0.48,357,0.406,145,0.392,0.857,35,35,85,1101,4.4,5.9,2.4,20,luke-kornet-1,444,Forward,1,vanderbilt,0.454,0.327,11.5,0.547,9.6,0.472,22.7,235,4.3,0.155,Luke Kornet,2016,4,1.53,2.58,5.96,5.09,4.36,1.93,2.94,16.82,0.69,5.89,1.93,7.88,1.63,7.08,3.34
13.3,1.5,9,sec,2.5,7.3,1.9,0.543,558,0.45,251,0.323,0.822,38,37,75,1218,6.5,1.1,3.9,21.5,malik-monk-1,660,Guard,1.6,kentucky,0.47,0.397,4.2,0.586,10.4,0.497,27.2,200,5.8,0.189,Malik Monk,2016,1,2.86,0.62,2.73,5.91,4.86,0.39,2.36,24.76,1.18,8.6,3.42,3.12,2.46,9.72,4.83
35.5,3.1,9.4,pac-12,1.7,13.9,0.6,0.535,439,0.476,209,0.383,0.649,25,25,76,892,7.7,4,3.3,28,markelle-fultz-1,582,Guard,2.5,washington,0.287,0.413,8.9,0.558,13.4,0.502,31.4,195,3.9,0.173,Markelle Fultz,2016,1,6.64,1.35,4.93,7.53,4.89,1.48,2.83,25.96,1.79,5.65,2.33,6.41,3.59,14.04,7.04
25.2,0.5,5.3,big-ten,1.2,11.4,1.5,0.506,413,0.436,180,0.424,0.789,33,33,75,1059,4.1,1,2.3,19.2,melo-trimble-1,534,Guard,2,maryland,0.443,0.317,6.4,0.56,16.8,0.53,28.5,190,3.8,0.144,Melo Trimble,2016,3,4.57,0.19,4.15,6.61,5.21,0.34,2.23,21,1.36,6.91,2.19,4.49,3.78,8.69,4.61
32,0.8,10.5,big-12,3,11.3,1.7,0.523,465,0.465,216,0.239,0.802,35,35,74,1237,7.5,3.7,4.8,24.7,monte-morris-1,645,Guard,2.4,iowa-state,0.308,0.378,7.6,0.555,7.5,0.503,22.8,170,6.5,0.21,Monte Morris,2016,4,7.02,0.32,4.17,3.59,2.88,1.29,1.65,18.59,1.71,4.62,1.75,5.46,1.36,10.41,5.24
9,9.8,5.1,sec,2.6,21.1,1.7,0.478,319,0.467,149,0.53,0.757,36,36,82,999,2.5,9,1.9,21.9,moses-kingsley-1,436,Center,1.3,arkansas,0.05,0.438,15.2,0.542,14.9,0.469,22.7,230,3.6,0.145,Moses Kingsley,2016,4,1.96,3.72,7.93,6.77,5.13,3.16,3.96,17.34,0.92,0.64,0.28,11.09,2.8,12.13,5.69
16.9,1.3,6.9,big-ten,2.4,16.7,2.2,0.485,394,0.457,180,0.584,0.587,37,37,80,1190,4.5,8,3,20.8,nigel-hayes-1,529,Forward,1.5,wisconsin,0.178,0.314,12.3,0.514,11.1,0.488,24.8,235,5.2,0.174,Nigel Hayes,2016,4,3.36,0.47,5.48,7.73,4.54,2.76,2.25,17.38,0.94,2.35,0.74,8.24,2.12,10.89,5.31
25.6,0.2,10.8,wcc,5.1,15.7,3.6,0.533,453,0.486,220,0.4,0.867,38,38,75,1248,5.7,2.2,4.5,25.2,nigel-williams-goss-1,660,Guard,2.9,gonzaga,0.258,0.368,9.8,0.594,13.1,0.527,24.6,185,8.1,0.261,Nigel Williams-Goss,2016,3,5.74,0.1,6.57,5.8,5.03,0.71,1.92,20.51,2.05,3.75,1.38,7.28,2.6,10.77,5.67
11,5.5,8.9,big-ten,3.5,16.1,0.7,0.615,122,0.557,68,0.393,0.563,16,10,80,402,5.4,8.5,1.1,23.8,og-anunoby-1,167,Forward,3,indiana,0.369,0.311,12.5,0.611,15.2,0.701,20.8,215,1.7,0.172,OG Anunoby,2016,2,2.29,2.09,5.87,4.78,2.69,2.79,3.28,17.61,2.09,4.48,1.39,8.66,2.59,7.66,5.37
17.5,0.3,6.6,big-ten,0.3,15.6,1.1,0.516,467,0.426,199,0.362,0.911,32,32,78,983,6.3,3.3,3,22.9,peter-jok-1,572,Guard,1.9,iowa,0.473,0.38,9.6,0.581,12.9,0.467,30.3,200,4.1,0.168,Peter Jok,2016,4,3.42,0.12,5.94,6.88,6.27,1.22,2.85,25.88,1.38,8.99,3.42,7.16,3.3,10.01,4.68
22.8,1.1,7.1,sec,4.6,15.4,2.6,0.452,469,0.407,191,0.275,0.597,36,36,79,1033,2.5,4.1,1,17.6,pj-dozier-1,487,Guard,3.3,south-carolina,0.301,0.298,9.5,0.472,12.8,0.454,28.7,185,3.6,0.14,PJ Dozier,2016,2,3.91,0.39,5.19,5,2.98,1.51,3.87,19.4,2.32,5.46,1.63,6.7,3.02,12.7,5.77
9.3,1.6,9.3,aac,1.1,15,2.2,0.572,431,0.487,210,0.508,0.785,35,35,80,1195,8.3,8.4,5.5,26.5,semi-ojeleye-1,595,Forward,0.8,southern-methodist,0.399,0.424,11.9,0.621,8.5,0.529,25.9,230,7.7,0.257,Semi Ojeleye,2016,3,1.77,0.47,5.36,7.33,5.76,2.68,2.08,22.26,0.5,5.76,2.44,8.03,1.67,8.67,4.59
19.1,3.4,17.1,sec,6.2,16.3,2.8,0.51,439,0.444,195,0.59,0.83,31,31,77,1051,11,8,4.4,30.3,sindarius-thornwell-1,634,Guard,3.6,south-carolina,0.337,0.392,11.9,0.59,11.9,0.471,29.5,215,7.2,0.273,Sindarius Thornwell,2016,4,3.27,1.14,5.48,9.86,8.18,2.93,2.7,25.23,2.51,5.63,2.21,8.41,2.89,11.08,5.21
17.9,2.2,8.9,aac,4,16.9,2.7,0.546,351,0.459,161,0.313,0.791,35,34,78,1143,4.8,6,3.3,21.7,sterling-brown-2,463,Guard,2.7,southern-methodist,0.387,0.449,11.7,0.583,14.6,0.465,21.9,200,6,0.211,Sterling Brown,2016,4,3.67,0.66,6.02,3.85,3.04,1.92,3.18,16.45,1.75,4.76,2.13,7.94,2.41,7.52,3.5
9.8,5.7,6.2,big-ten,2.4,17.2,1.4,0.56,285,0.519,148,0.519,0.73,34,34,82,954,3.8,9.7,2.4,21.6,thomas-bryant-1,419,Center,1.6,indiana,0.211,0.383,13.7,0.601,18,0.556,22.2,245,3.8,0.159,Thomas Bryant,2016,2,2.1,2.18,6.29,6.21,4.53,3.19,4.36,17.9,1.09,2.52,0.96,9.48,3.27,9.43,5.24
13.2,3.5,8.6,pac-12,2.1,19.7,1.6,0.652,381,0.617,235,0.278,0.679,35,35,82,1048,6.5,9,4.2,26.6,tj-leaf-1,536,Forward,1.1,ucla,0.152,0.466,14.9,0.66,10.8,0.644,22,225,5.8,0.22,TJ Leaf,2016,1,3.24,1.49,7.98,4.05,2.75,2.98,3.4,21.72,0.84,2.21,1.03,10.95,1.98,12.33,7.94
